Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	X	XSD	Y	YSD	Time	Interval	Round
1.26998000000000004661e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.14441999999999996285e-005	0.00000000000000000000e+000	-8.83619999999999947704e+001	0.00000000000000000000e+000	1.05523324541226028861e-005	0.00000000000000000000e+000	-4.42922040743863421150e-006	0.00000000000000000000e+000	7.50168000028585083783e+002	1	1
1.27012000000000000455e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.09672999999999991631e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.91415777017344716446e-006	0.00000000000000000000e+000	-9.80472960870639768873e-006	0.00000000000000000000e+000	7.50438000028603710234e+002	1	1
1.26963999999999998636e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-8.82120000000000032969e+001	0.00000000000000000000e+000	1.01710747721035170405e-005	0.00000000000000000000e+000	-2.56901308487897701177e-006	0.00000000000000000000e+000	7.50699000028660520911e+002	1	1
1.27021000000000000796e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	9.53679999999999989963e-006	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.27318846230066946899e-006	0.00000000000000000000e+000	-8.52586738142579935395e-006	0.00000000000000000000e+000	7.50981000028667040169e+002	1	1
1.27001000000000004775e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.09672999999999991631e-005	0.00000000000000000000e+000	-9.17339999999999946567e+001	0.00000000000000000000e+000	-8.87598951476135904898e-006	0.00000000000000000000e+000	6.44193134268337144294e-006	0.00000000000000000000e+000	7.51240000028628855944e+002	1	1
1.27040999999999996817e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.17879999999999967031e+001	0.00000000000000000000e+000	-8.14515371469120088872e-006	0.00000000000000000000e+000	6.61113161372938802656e-006	0.00000000000000000000e+000	7.51503000028664246202e+002	1	1
1.27009000000000000341e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.51768000028561800718e+002	1	1
1.27009000000000000341e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.18479999999999989768e+001	0.00000000000000000000e+000	-7.38247483715521638599e-006	0.00000000000000000000e+000	6.76544530971687488525e-006	0.00000000000000000000e+000	7.52029000028618611395e+002	1	1
1.27021000000000000796e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.52298000028589740396e+002	1	1
1.26998000000000004661e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.52559000028646551073e+002	1	1
1.26983999999999994657e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.52820000028586946428e+002	1	1
1.26992000000000004434e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.53079000028665177524e+002	1	1
1.26992000000000004434e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.53340000028605572879e+002	1	1
1.27015000000000000568e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.53601000028662383556e+002	1	1
1.27049000000000006594e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.17879999999999967031e+001	0.00000000000000000000e+000	-8.14515371469120088872e-006	0.00000000000000000000e+000	6.61113161372938802656e-006	0.00000000000000000000e+000	7.53867000028607435524e+002	1	1
1.27021000000000000796e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.54136000028578564525e+002	1	1
1.27021000000000000796e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.04905000000000006111e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.70051627000305956430e-006	0.00000000000000000000e+000	-9.37847199950165339875e-006	0.00000000000000000000e+000	7.54398000028566457331e+002	1	1
1.27028999999999996362e+002	0.00000000000000000000e+000	4.00000000000000000000e+003	1.00136000000000001457e-005	0.00000000000000000000e+000	-9.00000000000000000000e+001	0.00000000000000000000e+000	-4.48682996247105791618e-006	0.00000000000000000000e+000	-8.95212499063054703205e-006	0.00000000000000000000e+000	7.54656000028597190976e+002	1	1
